j	k	likelihood
0.01	3450	-816885.134321662
0.01	3500	-816881.173045908
0.01	3550	-816877.270140967
0.01	3600	-816873.423932516
0.01	3650	-816869.632816863
0.01	3700	-816865.895257074
0.01	3750	-816862.2097793
0.01	3800	-816858.574969418
0.01	3850	-816854.98946982
0.01	3900	-816851.451976477
0.01	3950	-816847.961236145
0.01	4000	-816844.516043788
0.01	4050	-816841.115240137
0.01	4100	-816837.7577094
0.01	4150	-816834.442377126
0.01	4200	-816831.168208203
0.01	4250	-816827.934204975
0.01	4300	-816824.739405409
0.01	4350	-816821.582881475
0.01	4400	-816818.463737588
0.01	4450	-816815.381109039
0.01	4500	-816812.334160649
0.01	4550	-816809.322085428
0.01	4600	-816806.344103368
0.01	4650	-816803.399460165
0.01	4700	-816800.487426203
0.01	4750	-816797.607295412
0.01	4800	-816794.758384324
0.01	4850	-816791.940031096
0.01	4900	-816789.151594612
0.01	4950	-816786.392453635
0.01	5000	-816783.662005982
0.01	5050	-816780.959667768
0.01	5100	-816778.284872693
0.01	5150	-816775.63707128
0.01	5200	-816773.015730295
0.01	5250	-816770.42033206
0.01	5300	-816767.850373875
0.01	5350	-816765.305367474
0.01	5400	-816762.784838413
0.01	5450	-816760.288325615
0.01	5500	-816757.815380837
0.01	5550	-816755.365568232
0.01	5600	-816752.93846387
0.01	5650	-816750.533655318
0.01	5700	-816748.150741237
0.01	5750	-816745.789330974
0.01	5800	-816743.44904419
0.01	5850	-816741.129510511
0.01	5900	-816738.830369182
0.01	5950	-816736.551268722
0.01	6000	-816734.291866621
0.01	6050	-816732.051829063
0.01	6100	-816729.830830566
0.01	6150	-816727.628553794
0.01	6200	-816725.44468921
0.01	6250	-816723.278934892
0.01	6300	-816721.130996225
0.01	6350	-816719.000585716
0.01	6400	-816716.887422726
0.01	6450	-816714.791233291
0.01	6500	-816712.711749876
0.01	6550	-816710.64871123
0.01	6600	-816708.601862126
0.01	6650	-816706.570953211
0.01	6700	-816704.55574084
0.01	6750	-816702.555986887
0.01	6800	-816700.571458561
0.01	6850	-816698.601928304
0.01	6900	-816696.647173555
0.01	6950	-816694.706976696
0.01	7000	-816692.781124838
0.01	7050	-816690.869409705
0.01	7100	-816688.971627521
0.01	7150	-816687.087578851
0.01	7200	-816685.217068512
0.01	7250	-816683.359905416
0.01	7300	-816681.515902495
0.01	7350	-816679.684876544
0.01	7400	-816677.866648186
0.01	7450	-816676.061041679
0.01	7500	-816674.267884873
0.01	7550	-816672.487009133
0.01	7600	-816670.71824915
0.01	7650	-816668.961443007
0.01	7700	-816667.216431891
0.01	7750	-816665.483060217
0.01	7800	-816663.761175388
0.01	7850	-816662.050627792
0.01	7900	-816660.351270722
0.01	7950	-816658.662960267
0.01	8000	-816656.985555285
0.01	8050	-816655.318917296
0.01	8100	-816653.662910432
0.01	8150	-816652.017401364
0.01	8200	-816650.382259292
0.01	8250	-816648.757355765
0.01	8300	-816647.142564743
0.01	8350	-816645.53776247
0.01	8400	-816643.942827459
0.01	8450	-816642.35764039
0.01	8500	-816640.782084112
0.01	8550	-816639.216043549
0.01	8600	-816637.659405661
0.01	8650	-816636.112059426
0.01	8700	-816634.573895755
0.01	8750	-816633.044807455
0.01	8800	-816631.524689209
0.01	8850	-816630.013437496
0.01	8900	-816628.510950592
0.01	8950	-816627.017128488
0.01	9000	-816625.531872879
0.01	9050	-816624.055087104
