"V1","V2","V3","V4","V5","V6","V7","V8","V9"
66,65,65,63,67,48,0,0,0
70,70,69,67,67,51,0,0,0
71,70,70,72,68,51,0,0,0
75,75,75,72,69,53,0,0,0
78,78,79,76,66,54,0,0,0
84,84,83,79,70,56,0,0,0
86,87,86,88,74,60,0,0,0
92,92,93,89,74,64,0,0,0
93,93,93,95,80,68,0,0,0
102,102,102,99,86,70,0,0,0
106,106,108,108,91,75,0,0,0
112,112,110,111,98,77,0,0,0
120,120,120,116,108,81,0,0,0
129,129,129,124,114,87,0,0,0
141,141,140,135,129,93,0,0,0
149,148,148,146,136,99,0,0,0
159,160,160,159,147,103,0,0,0
173,173,173,168,158,118,0,0,0
189,190,189,187,169,127,0,0,0
208,207,207,200,185,141,0,0,0
233,233,231,227,201,160,0,0,0
264,264,263,258,219,179,0,0,0
303,304,303,291,253,197,3,0,0
348,346,344,337,295,217,12,0,0
415,415,414,401,338,252,37,0,0
487,487,487,480,408,295,94,0,0
618,618,614,598,514,360,176,0,0
808,807,804,769,664,451,270,0,0
1131,1130,1124,1082,907,593,390,0,0
1817,1814,1784,1687,1360,858,577,0,0
3694,3689,3646,3334,2461,1485,930,18,0
13308,13322,13439,14161,16905,21917,26385,28856,28874
