"","V1","V2","likelihood_estimates"
"295",0.03,1425,-4546609.81825526
"296",0.03,1440,-4546754.72715324
"297",0.03,1455,-4546898.16349869
"298",0.03,1470,-4547040.15702646
"299",0.03,1485,-4547180.73657861
"300",0.03,1500,-4547319.93013967
"301",0.04,15,-4494655.45705418
"302",0.04,30,-4503053.1067897
"303",0.04,45,-4508696.30743123
"304",0.04,60,-4512965.10892946
"305",0.04,75,-4516406.56409001
"306",0.04,90,-4519293.48006546
"307",0.04,105,-4521782.03733341
"308",0.04,120,-4523970.20239299
"309",0.04,135,-4525923.55970875
"310",0.04,150,-4527688.21350961
"311",0.04,165,-4529297.83183292
"312",0.04,180,-4530777.76380934
"313",0.04,195,-4532147.57980307
"314",0.04,210,-4533422.708879
"315",0.04,225,-4534615.53355228
"316",0.04,240,-4535736.14455117
"317",0.04,255,-4536792.8750614
"318",0.04,270,-4537792.68759581
"319",0.04,285,-4538741.45978608
"320",0.04,300,-4539644.19925141
"321",0.04,315,-4540505.20769184
"322",0.04,330,-4541328.20797079
"323",0.04,345,-4542116.44378419
"324",0.04,360,-4542872.75872666
"325",0.04,375,-4543599.65966802
"326",0.04,390,-4544299.36803878
"327",0.04,405,-4544973.86169306
"328",0.04,420,-4545624.90935516
"329",0.04,435,-4546254.09917575
"330",0.04,450,-4546862.86256504
"331",0.04,465,-4547452.49421487
"332",0.04,480,-4548024.16901557
"333",0.04,495,-4548578.95643199
"334",0.04,510,-4549117.83278086
"335",0.04,525,-4549641.69177005
"336",0.04,540,-4550151.35358498
"337",0.04,555,-4550647.57275688
"338",0.04,570,-4551131.0450052
"339",0.04,585,-4551602.41320824
"340",0.04,600,-4552062.27263573
"341",0.04,615,-4552511.17554652
"342",0.04,630,-4552949.63524424
"343",0.04,645,-4553378.12966493
"344",0.04,660,-4553797.10456095
"345",0.04,675,-4554206.97633257
"346",0.04,690,-4554608.13455681
"347",0.04,705,-4555000.94424542
"348",0.04,720,-4555385.74787434
"349",0.04,735,-4555762.86720379
"350",0.04,750,-4556132.60491978
"351",0.04,765,-4556495.24611622
"352",0.04,780,-4556851.05963404
"353",0.04,795,-4557200.29927695
"354",0.04,810,-4557543.20491349
"355",0.04,825,-4557880.00348161
"356",0.04,840,-4558210.90990378
"357",0.04,855,-4558536.12792073
"358",0.04,870,-4558855.85085675
"359",0.04,885,-4559170.26231854
"360",0.04,900,-4559479.53683682
"361",0.04,915,-4559783.84045613
"362",0.04,930,-4560083.33127715
"363",0.04,945,-4560378.15995652
"364",0.04,960,-4560668.47016758
"365",0.04,975,-4560954.39902594
"366",0.04,990,-4561236.07748363
"367",0.04,1005,-4561513.63069367
"368",0.04,1020,-4561787.1783478
"369",0.04,1035,-4562056.8349904
"370",0.04,1050,-4562322.7103099
"371",0.04,1065,-4562584.90940969
"372",0.04,1080,-4562843.5330611
"373",0.04,1095,-4563098.67793795
"374",0.04,1110,-4563350.43683654
"375",0.04,1125,-4563598.89888039
"376",0.04,1140,-4563844.14971192
"377",0.04,1155,-4564086.2716717
"378",0.04,1170,-4564325.34396608
"379",0.04,1185,-4564561.44282486
"380",0.04,1200,-4564794.64164853
"381",0.04,1215,-4565025.01114701
"382",0.04,1230,-4565252.61946943
"383",0.04,1245,-4565477.53232672
"384",0.04,1260,-4565699.81310661
"385",0.04,1275,-4565919.52298215
"386",0.04,1290,-4566136.72101393
"387",0.04,1305,-4566351.46424588
"388",0.04,1320,-4566563.80779685
"389",0.04,1335,-4566773.8049454
"390",0.04,1350,-4566981.50721249
"391",0.04,1365,-4567186.96443652
"392",0.04,1380,-4567390.22484661
"393",0.04,1395,-4567591.33513121
"394",0.04,1410,-4567790.34050303
"395",0.04,1425,-4567987.28476067
"396",0.04,1440,-4568182.21034755
"397",0.04,1455,-4568375.15840577
"398",0.04,1470,-4568566.16883084
"399",0.04,1485,-4568755.28032038
"400",0.04,1500,-4568942.5304221
"401",0.05,15,-4497469.39124071
"402",0.05,30,-4508012.07687262
"403",0.05,45,-4515092.9730645
"404",0.05,60,-4520449.44776321
"405",0.05,75,-4524768.37941013
"406",0.05,90,-4528391.98934302
"407",0.05,105,-4531516.11783665
"408",0.05,120,-4534263.58534993
"409",0.05,135,-4536716.60825258
"410",0.05,150,-4538932.98116272
"411",0.05,165,-4540954.90950653
"412",0.05,180,-4542814.17125612
"413",0.05,195,-4544535.30107277
"414",0.05,210,-4546137.64277758
"415",0.05,225,-4547636.72149669
"416",0.05,240,-4549045.18965521
"417",0.05,255,-4550373.49657467
"418",0.05,270,-4551630.37335999
"419",0.05,285,-4552823.19110508
"420",0.05,300,-4553958.23020842
"421",0.05,315,-4555040.88605244
"422",0.05,330,-4556075.82829605
"423",0.05,345,-4557067.12581047
"424",0.05,360,-4558018.34579005
"425",0.05,375,-4558932.63320065
"426",0.05,390,-4559812.77507073
"427",0.05,405,-4560661.2529733
"428",0.05,420,-4561480.28621266
"429",0.05,435,-4562271.86762514
"430",0.05,450,-4563037.79346235
"431",0.05,465,-4563779.68849362
"432",0.05,480,-4564499.02721941
"433",0.05,495,-4565197.1518971
"434",0.05,510,-4565875.28793604
"435",0.05,525,-4566534.55711449
"436",0.05,540,-4567175.98897413
"437",0.05,555,-4567800.53068768
"438",0.05,570,-4568409.05564055
"439",0.05,585,-4569002.37091894
"440",0.05,600,-4569581.22387268
"441",0.05,615,-4570146.30788187
"442",0.05,630,-4570698.26744428
"443",0.05,645,-4571237.70267575
"444",0.05,660,-4571765.17330327
"445",0.05,675,-4572281.20221828
"446",0.05,690,-4572786.2786467
"447",0.05,705,-4573280.86098558
"448",0.05,720,-4573765.3793451
"449",0.05,735,-4574240.23783494
